Language/Extension, Number or files
C/.c, 1060914
C/.cats, 5
Objective-C/.h, 4120165
C/.idc, 52
C++/.cpp, 531336
C++/.c++, 27
C++/.cc, 588181
C++/.cp, 45
C++/.cxx, 19555
C++/.h++, 6
C++/.hh, 4970
C++/.hpp, 287238
C++/.hxx, 10871
SQL/.inc, 12506
C++/.inl, 7420
C++/.ino, 3137
C++/.ipp, 4781
C++/.re, 1106
C++/.tcc, 888
C++/.tpp, 15
HTML/.html, 2738991
HTML/.htm, 67825
HTML/.html.hl, 0
Smalltalk/.st, 13431
HTML/.xht, 55389
HTML/.xhtml, 40937
JavaScript/.js, 3067091
JavaScript/._js, 0
JavaScript/.bones, 3
Erlang/.es, 390
JavaScript/.es6, 807
GLSL/.frag, 9068
JavaScript/.gs, 164
JavaScript/.jake, 0
JavaScript/.jsb, 2
JavaScript/.jscad, 9
JavaScript/.jsfl, 71
JavaScript/.jsm, 1022
JavaScript/.jss, 0
JavaScript/.mjs, 478
JavaScript/.njs, 26
JavaScript/.pac, 151
JavaScript/.sjs, 69
JavaScript/.ssjs, 7
JavaScript/.xsjs, 0
JavaScript/.xsjslib, 0
Java/.java, 1632460
Jupyter Notebook/.ipynb, 13369
Python/.py, 530938
Python/.bzl, 1129
Perl/.cgi, 2090
Lua/.fcgi, 86
Python/.gyp, 2793
Python/.gypi, 647
Python/.lmi, 0
Python/.py3, 19
Python/.pyde, 1
Python/.pyi, 1040
Python/.pyp, 2
Python/.pyt, 4
Python/.pyw, 38
Python/.rpy, 3
Ruby/.spec, 3084
Python/.tac, 6
Python/.wsgi, 43
Python/.xpy, 0
PHP/.php, 363913
PHP/.aw, 12
PHP/.ctp, 385
PHP/.php3, 1
PHP/.php4, 34
PHP/.php5, 0
PHP/.phps, 79
PHP/.phpt, 18349
Smalltalk/.cs, 402076
CoffeeScript/.cake, 222
C#/.csx, 51
Assembly/.asm, 21241
Assembly/.a51, 11
Assembly/.nasm, 17
M/.m, 130221
Go/.go, 820089
CSS/.css, 405058
OpenEdge ABL/.p, 721
Visual Basic/.cls, 722
OpenEdge ABL/.w, 108
Shell/.sh, 104135
Shell/.bash, 2270
Shell/.bats, 1031
Shell/.command, 151
Shell/.ksh, 4795
Shell/.sh.in, 0
Shell/.tmux, 9
Shell/.tool, 5
Shell/.zsh, 544
Makefile/.mak, 2908
D/.d, 26646
Makefile/.make, 1144
Makefile/.mk, 24001
Makefile/.mkfile, 0
LLVM/.ll, 248849
Ruby/.rb, 222557
Ruby/.builder, 148
Ruby/.eye, 0
Ruby/.gemspec, 1709
Ruby/.god, 7
Ruby/.jbuilder, 403
Ruby/.mspec, 6
Ruby/.pluginspec, 0
Ruby/.podspec, 1661
Ruby/.rabl, 393
Ruby/.rake, 1480
Ruby/.rbuild, 1
Ruby/.rbw, 2
Ruby/.rbx, 0
Ruby/.ru, 1299
Ruby/.ruby, 9
Ruby/.thor, 13
Ruby/.watchr, 49
Perl 6/.pl, 22648
Perl/.al, 195
Perl/.perl, 112
Perl/.ph, 147
Perl/.plx, 6
Perl 6/.pm, 13435
Perl/.psgi, 2
Perl 6/.t, 6185
TypeScript/.ts, 160821
Pascal/.pas, 7416
Pascal/.dfm, 849
Pascal/.dpr, 538
Pascal/.lpr, 31
Pascal/.pascal, 386
Pascal/.pp, 5631
SQL/.sql, 27708
Roff/.roff, 11
Roff/.1, 14877
Roff/.1in, 0
Roff/.1m, 1411
Roff/.1x, 3
Roff/.2, 5717
Roff/.3, 15909
Roff/.3in, 0
Roff/.3m, 215
Roff/.3p, 0
Roff/.3pm, 168
Roff/.3qt, 0
Roff/.3x, 332
Roff/.4, 3309
Roff/.5, 2685
Roff/.6, 1277
Roff/.7, 1336
Roff/.8, 2888
Roff/.9, 931
Lex/.l, 3475
Roff/.man, 3654
Roff/.mdoc, 17
Roff/.me, 158
Roff/.ms, 961
Roff/.n, 919
Roff/.nr, 27
Roff/.rno, 0
Roff/.tmac, 142
Lua/.lua, 24572
Lua/.nse, 47
Lua/.p8, 26
Lua/.pd_lua, 0
Lua/.rbxs, 0
Lua/.wlua, 0
Fortran/.f90, 5804
Fortran/.f, 5348
Fortran/.f03, 1
Fortran/.f08, 0
Fortran/.f77, 1
Fortran/.f95, 13
Fortran/.for, 98
Fortran/.fpp, 28
TeX/.tex, 5469
TeX/.aux, 287
TeX/.bbx, 35
TeX/.cbx, 34
TeX/.dtx, 45
TeX/.ins, 14
TeX/.lbx, 44
TeX/.ltx, 110
TeX/.mkii, 0
TeX/.mkiv, 0
TeX/.mkvi, 0
TeX/.sty, 510
TeX/.toc, 550
Scala/.scala, 75210
Scala/.kojo, 0
Scala/.sbt, 1909
Scala/.sc, 1260
Smali/.smali, 30469
Swift/.swift, 104592
Emacs Lisp/.el, 12414
Emacs Lisp/.emacs, 11
Emacs Lisp/.emacs.desktop, 0
Rust/.rs, 22721
Rust/.rs.in, 0
Coq/.v, 20343
Verilog/.veo, 53
PLpgSQL/.pgsql, 29
Julia/.jl, 757
D/.di, 101
Ada/.adb, 11972
Ada/.ada, 12021
Ada/.ads, 12154
SMT/.smt2, 7087
SMT/.smt, 127
Common Lisp/.lisp, 2875
Common Lisp/.asd, 124
Common Lisp/.cl, 6745
Common Lisp/.lsp, 253
Common Lisp/.ny, 0
Common Lisp/.podsl, 0
Common Lisp/.sexp, 8
OCaml/.ml, 7797
OCaml/.eliom, 0
OCaml/.eliomi, 0
OCaml/.ml4, 1
OCaml/.mli, 2881
OCaml/.mll, 84
OCaml/.mly, 61
R/.r, 1976
R/.rd, 207
R/.rsx, 0
Haskell/.hs, 10703
Haskell/.hsc, 57
PowerShell/.ps1, 8248
PowerShell/.psd1, 197
PowerShell/.psm1, 307
XSLT/.xslt, 1254
XSLT/.xsl, 10411
GLSL/.glsl, 3896
GLSL/.fp, 320
GLSL/.frg, 0
F#/.fs, 7860
GLSL/.fsh, 805
GLSL/.fshader, 0
GLSL/.geo, 56
GLSL/.geom, 335
GLSL/.glslv, 33
GLSL/.gshader, 0
GLSL/.shader, 3527
GLSL/.tesc, 253
GLSL/.tese, 317
GLSL/.vert, 4377
GLSL/.vrx, 0
GLSL/.vsh, 674
GLSL/.vshader, 0
RPC/.x, 1858
Visual Basic/.vb, 10155
Visual Basic/.bas, 4624
Visual Basic/.frm, 508
Visual Basic/.frx, 114
Vim script/.vba, 346
Visual Basic/.vbhtml, 2
Visual Basic/.vbs, 292
Scheme/.sch, 834
Eagle/.brd, 230
PostScript/.ps, 2327
PostScript/.eps, 6842
PostScript/.pfa, 56
Erlang/.erl, 5038
Erlang/.app.src, 0
Erlang/.escript, 29
Erlang/.hrl, 265
Erlang/.xrl, 6
Erlang/.yrl, 7
ActionScript/.as, 16468
CMake/.cmake, 13615
CMake/.cmake.in, 0
Vim script/.vim, 12931
Vim script/.vmb, 4
Kotlin/.kt, 82900
Kotlin/.ktm, 0
Kotlin/.kts, 2078
Objective-C++/.mm, 52692
Max/.maxpat, 269
Max/.maxhelp, 164
Max/.maxproj, 0
Max/.mxt, 0
Max/.pat, 455
Scheme/.scm, 2947
Scheme/.sld, 270
Scheme/.sls, 1064
Scheme/.sps, 119
Scheme/.ss, 931
HCL/.hcl, 1357
HCL/.tf, 3356
HCL/.tfvars, 52
HCL/.workflow, 35
Objective-J/.j, 2141
Tcl/.tcl, 9143
Tcl/.adp, 1
Tcl/.tm, 44
WebAssembly/.wast, 643
WebAssembly/.wat, 190
Dart/.dart, 19700
Vue/.vue, 18471
M4/.m4, 12776
Groovy/.groovy, 32209
Groovy/.grt, 1
Groovy/.gtpl, 10
Groovy/.gvy, 4
DM/.dm, 33
PLSQL/.pls, 96
PLSQL/.bdy, 0
SQL/.ddl, 172
PLSQL/.fnc, 6
PLSQL/.pck, 19
PLSQL/.pkb, 131
PLSQL/.pks, 130
PLSQL/.plb, 2
PLSQL/.plsql, 0
SQL/.prc, 48
PLSQL/.spc, 21
PLSQL/.tpb, 79
PLSQL/.tps, 167
PLSQL/.trg, 5
PLSQL/.vw, 1
SQLPL/.db2, 10
SQF/.sqf, 380
SQF/.hqf, 0
Clojure/.clj, 7369
Clojure/.boot, 1158
Clojure/.cl2, 0
Clojure/.cljc, 455
Clojure/.cljs, 1040
Clojure/.cljs.hl, 0
Clojure/.cljscm, 0
Clojure/.cljx, 19
Clojure/.hic, 0
F#/.fsi, 460
F#/.fsx, 1170
Coq/.coq, 18
Nix/.nix, 17820
ASP/.asp, 833
ASP/.asax, 452
ASP/.ascx, 856
ASP/.ashx, 103
ASP/.asmx, 157
ASP/.aspx, 1132
ASP/.axd, 4
Haxe/.hx, 21952
Haxe/.hxsl, 0
CoffeeScript/.coffee, 11355
CoffeeScript/._coffee, 0
CoffeeScript/.cjsx, 134
CoffeeScript/.iced, 119
Smarty/.tpl, 9010
QML/.qml, 1948
QML/.qbs, 4
Mercury/.moo, 20
Racket/.rkt, 5419
Racket/.rktd, 3
Racket/.rktl, 181
Racket/.scrbl, 559
Yacc/.y, 1388
Yacc/.yacc, 5
Yacc/.yy, 55
Lex/.lex, 165
Perl 6/.6pl, 0
Perl 6/.6pm, 0
Perl 6/.nqp, 0
Perl 6/.p6, 2
Perl 6/.p6l, 0
Perl 6/.p6m, 0
Perl 6/.pl6, 1159
Perl 6/.pm6, 1
