Language/Extension, Number or files
Dockerfile/.dockerfile, 259
Elixir/.ex, 14519
Elixir/.exs, 5956
M/.mumps, 126
Batchfile/.bat, 17154
Batchfile/.cmd, 4478
SystemVerilog/.sv, 429
SystemVerilog/.svh, 20
SystemVerilog/.vh, 80
Eiffel/.e, 682
Gherkin/.feature, 3348
SQL/.cql, 195
SQL/.mysql, 83
SQL/.tab, 645
SQL/.udf, 178
SQL/.viw, 0
Objective-J/.sj, 7
1C Enterprise/.bsl, 959
1C Enterprise/.os, 11
Brainfuck/.b, 235
Brainfuck/.bf, 269
Genshi/.kid, 6
QMake/.pro, 8588
QMake/.pri, 708
F*/.fst, 506
RAML/.raml, 139
SAS/.sas, 169
PureScript/.purs, 250
AppleScript/.applescript, 684
AppleScript/.scpt, 303
MoonScript/.moon, 45
RMarkdown/.rmd, 75
