Language/Extension, Number or files
Ruby/.watchr, 166
Python/.wsgi, 165
C/.idc, 154
C++/.cp, 152
OCaml/.mly, 149
GLSL/.geo, 149
SystemVerilog/.vh, 147
JavaScript/.sjs, 136
Lua/.wlua, 133
HCL/.workflow, 124
TeX/.ins, 122
Roff/.mdoc, 119
OpenEdge ABL/.w, 117
RMarkdown/.rmd, 115
Scheme/.sps, 114
Groovy/.gtpl, 113
PostScript/.pfa, 110
Roff/.1x, 100
Lua/.fcgi, 95
PHP/.php4, 90
Erlang/.escript, 90
Lua/.p8, 89
Tcl/.tm, 89
Verilog/.veo, 86
PLSQL/.pks, 85
1C Enterprise/.os, 85
JavaScript/.njs, 82
GLSL/.glslv, 78
Roff/.nr, 74
Perl/.ph, 73
Ruby/.eye, 72
Perl/.plx, 70
R/.rd, 70
Vim script/.vba, 68
Perl 6/.pl6, 65
Erlang/.yrl, 64
R/.rsx, 63
PLSQL/.pck, 62
Roff/.tmac, 57
Fortran/.for, 57
Python/.tac, 54
Shell/.tool, 52
Shell/.tmux, 51
Roff/.rno, 50
D/.di, 50
Ruby/.pluginspec, 47
JavaScript/.xsjs, 46
Ruby/.god, 46
Perl/.psgi, 45
Ruby/.rbuild, 44
TeX/.ltx, 40
JavaScript/.jss, 38
Groovy/.grt, 38
Ruby/.thor, 37
Perl 6/.p6, 37
CoffeeScript/._coffee, 36
PLSQL/.trg, 35
Fortran/.fpp, 34
PLpgSQL/.pgsql, 34
Python/.pyt, 33
PLSQL/.fnc, 33
Clojure/.cljx, 31
Common Lisp/.sexp, 29
Clojure/.cljscm, 28
Erlang/.xrl, 26
PLSQL/.bdy, 26
Python/.pyp, 25
Ada/.ada, 25
Mercury/.moo, 24
Ruby/.ruby, 23
PHP/.php5, 22
Roff/.roff, 21
Racket/.rktd, 20
SQL/.udf, 20
JavaScript/.xsjslib, 19
Genshi/.kid, 19
JavaScript/.jsb, 18
PHP/.php3, 18
Ruby/.mspec, 18
Visual Basic/.vbhtml, 18
Objective-J/.sj, 17
Roff/.3p, 14
Lua/.pd_lua, 13
Emacs Lisp/.emacs, 12
Yacc/.yacc, 12
PLSQL/.plsql, 11
Common Lisp/.ny, 9
Groovy/.gvy, 8
JavaScript/.jake, 7
Fortran/.f77, 7
PLSQL/.tpb, 7
Scala/.kojo, 6
C/.cats, 5
JavaScript/.jscad, 5
Pascal/.pascal, 5
GLSL/.frg, 5
SQLPL/.db2, 5
JavaScript/.ssjs, 4
Ruby/.rbw, 4
Fortran/.f03, 4
Fortran/.f08, 4
TeX/.bbx, 4
TeX/.cbx, 4
DM/.dm, 4
Clojure/.cl2, 4
Clojure/.hic, 4
TeX/.lbx, 3
Vim script/.vmb, 3
Max/.mxt, 3
ASP/.axd, 3
Assembly/.a51, 2
Roff/.1in, 2
Roff/.3in, 2
Roff/.3m, 2
Roff/.3qt, 2
OCaml/.eliom, 2
GLSL/.vrx, 2
Max/.maxproj, 2
Tcl/.adp, 2
SQF/.hqf, 2
SQL/.viw, 2
TeX/.mkii, 1
OCaml/.ml4, 1
PLSQL/.vw, 1
Perl 6/.nqp, 1
HTML/.html.hl, 0
Python/.lmi, 0
Python/.xpy, 0
PHP/.aw, 0
Shell/.sh.in, 0
Makefile/.mkfile, 0
Ruby/.rbx, 0
Lua/.rbxs, 0
TeX/.mkiv, 0
TeX/.mkvi, 0
Emacs Lisp/.emacs.desktop, 0
Rust/.rs.in, 0
Common Lisp/.podsl, 0
OCaml/.eliomi, 0
GLSL/.fshader, 0
GLSL/.gshader, 0
GLSL/.vshader, 0
Erlang/.app.src, 0
CMake/.cmake.in, 0
Kotlin/.ktm, 0
PLSQL/.plb, 0
Clojure/.cljs.hl, 0
Coq/.coq, 0
Haxe/.hxsl, 0
Perl 6/.6pl, 0
Perl 6/.6pm, 0
Perl 6/.p6l, 0
Perl 6/.p6m, 0
M/.mumps, 0
