Language/Extension, Number or files
Pascal/.pascal, 391
Lex/.lex, 389
Racket/.rktl, 388
Fortran/.f95, 384
OCaml/.mll, 379
PLSQL/.tps, 369
ASP/.asmx, 356
Vimscript/.vba, 346
JavaScript/._js, 318
Python/.pyw, 313
Visual Basic/.frx, 309
SMT/.smt, 306
VisualBasic/.vbs, 292
Haskell/.hsc, 279
R/.rd, 277
JavaScript/.jsfl, 271
SystemVerilog/.svh, 264
Python/.py3, 257
SQL/.mysql, 256
C++/.h++, 254
CommonLisp/.lsp, 253
JavaScript/.bones, 249
HCL/.tfvars, 248
Scheme/.sps, 233
PLSQL/.spc, 230
SystemVerilog/.vh, 227
Perl/.ph, 220
Roff/.3m, 217
PLSQL/.pks, 215
Ruby/.watchr, 215
OCaml/.mly, 210
Python/.wsgi, 208
C/.idc, 206
JavaScript/.sjs, 205
GLSL/.geo, 205
Roff/.tmac, 199
SQL/.udf, 198
C++/.cp, 197
RMarkdown/.rmd, 190
Perl 6/.pm6, 190
Lua/.fcgi, 181
PostScript/.pfa, 166
HCL/.workflow, 159
Fortran/.for, 155
D/.di, 151
TeX/.ltx, 150
Verilog/.veo, 139
Roff/.mdoc, 136
TeX/.ins, 136
Tcl/.tm, 133
Lua/.wlua, 133
M/.mumps, 126
CommonLisp/.asd, 124
PHP/.php4, 124
Groovy/.gtpl, 123
Erlang/.escript, 119
OpenEdge ABL/.w, 117
Lua/.p8, 115
VisualBasic/.frx, 114
GLSL/.glslv, 111
OpenEdgeABL/.w, 108
JavaScript/.njs, 108
Roff/.1x, 103
Roff/.nr, 101
PLSQL/.tpb, 86
1C Enterprise/.os, 85
PLSQL/.pck, 81
Perl/.plx, 76
Ruby/.eye, 72
Erlang/.yrl, 71
Vim script/.vba, 68
Perl 6/.pl6, 65
PLpgSQL/.pgsql, 63
R/.rsx, 63
Fortran/.fpp, 62
Shell/.tmux, 60
Python/.tac, 60
Shell/.tool, 57
Ruby/.god, 53
Clojure/.cljx, 50
Ruby/.thor, 50
Roff/.rno, 50
TeX/.lbx, 47
Perl/.psgi, 47
Ruby/.pluginspec, 47
JavaScript/.xsjs, 46
Ruby/.rbuild, 45
Mercury/.moo, 44
PLSQL/.trg, 40
TeX/.bbx, 39
PLSQL/.fnc, 39
Groovy/.grt, 39
TeX/.cbx, 38
JavaScript/.jss, 38
DM/.dm, 37
Python/.pyt, 37
Perl 6/.p6, 37
CoffeeScript/._coffee, 36
Roff/.roff, 32
Ruby/.ruby, 32
Erlang/.xrl, 32
Common Lisp/.sexp, 29
Clojure/.cljscm, 28
Python/.pyp, 27
PLSQL/.bdy, 26
Genshi/.kid, 25
Objective-J/.sj, 24
Ruby/.mspec, 24
Racket/.rktd, 23
